user_id,Edad,Genero,Tipo_ubicación,Hr_uso_movil,Hr_uso_portatil,Hr_uso_Tablet,Hr_uso_TV,Hr_redes_sociales,Hr_uso_gamming,Horas_no_reportadas,Hr_trabajo_efectivo,Hr_entretenimiento,Hr_sueño,Total_hr_día,Puntuación_salud_mental,Ingesta_cafeína_mg_día,Puntuacion_semanal_ansiedad,Puntuacion_semanal_depresion
user_1,51,Mujer,Urbano,3.4,1.3,1.6,1.6,4.1,1.7,0.7,2,1,6.6,24,32,125.2,13,15
user_2,64,Hombre,SubUrbanoo,3.5,1.8,0.9,2,2.7,1.5,3,3.1,1,4.5,24,75,150.4,19,18
user_3,27,Otro,Rural,0,0,0.7,2.5,3.3,0.4,9.1,1.6,1.3,5.1,24,22,73.6,7,2
user_4,55,Hombre,Urbano,1.7,1.1,1.5,1.6,1.1,0.8,4.4,3.6,0.8,7.4,24,64,217.5,8,10
user_5,33,Hombre,Urbano,4,3.2,1.9,1.3,0.9,1.4,0,1.7,4.7,4.9,24,45,162.8,6,4
user_6,51,Mujer,Urbano,2.9,3,0.9,3.4,1.2,0.5,0.6,2.2,4,5.3,24,23,147.1,9,8
user_7,31,Mujer,SubUrbanoo,2.3,2.9,1.4,0.4,1.5,1.1,0,2.1,5.5,6.8,24,35,109.7,0,0
user_8,23,Mujer,SubUrbanoo,2.4,1,1.3,0.6,2.3,2.1,5.2,1.8,1.3,6,24,27,110.3,19,3
user_9,23,Hombre,SubUrbanoo,3.9,1.8,0.7,2.5,2.5,0.6,0,2.4,2.1,7.5,24,73,220.9,3,15
user_10,36,Hombre,Urbano,1,0,1.2,0.7,0.4,1.2,9.6,2.9,0.5,6.5,24,59,183.4,13,14
user_11,48,Mujer,Urbano,1.4,3.3,1,3,1.6,0.5,3.2,2.5,1,6.5,24,35,112.5,4,9
user_12,52,Hombre,Urbano,4,1.2,0.9,1,1.6,2.3,0,2.5,3.9,6.6,24,50,90.1,4,4
user_13,36,Mujer,Rural,4.6,1.5,0.6,1.9,0.2,1.8,2.9,1.9,2.9,5.7,24,42,203.3,18,15
user_14,15,Hombre,Urbano,2.4,3.1,0,2.1,1.1,1.8,2.9,0.9,4.4,5.3,24,21,92.9,20,5
user_15,34,Otro,Urbano,0.2,0.4,1.6,0.5,3,1.9,8.3,0.6,1.4,6.1,24,28,143.3,4,15
user_16,14,Hombre,SubUrbanoo,2.7,0.8,1.2,0.1,3,0.8,5.1,1.2,1.8,7.3,24,46,184.8,10,3
user_17,36,Mujer,Rural,3.3,2.3,0.3,1.8,0,2.7,4.5,1.5,3.3,4.3,24,64,173.2,1,20
user_18,56,Mujer,Rural,3.1,2.5,1.4,1.2,2.6,1.1,0,4,3.9,4.2,24,73,139.9,14,14
user_19,42,Hombre,Urbano,2.2,1.9,1.6,2,0.2,3,3.4,3.5,0.4,5.8,24,78,113.5,13,2
user_20,50,Otro,Urbano,2.8,2,1.4,0.2,1.5,0.9,7.4,1.3,2.2,4.3,24,78,186.1,13,18
user_21,14,Mujer,SubUrbanoo,1.9,3.3,0.6,1.1,1.9,1.9,3,2.5,3,4.8,24,41,56.0,7,8
user_22,33,Mujer,Rural,1.3,2.6,0.6,1.3,2.9,1.4,1,1.9,3.5,7.5,24,63,163.0,19,4
user_23,45,Mujer,Urbano,4.1,2.5,0.7,0,1.8,1.5,1.3,2.3,3.8,6,24,53,85.2,7,15
user_24,24,Otro,Urbano,3.1,2.8,1.4,2.5,0.8,0,4.2,1.3,2.4,5.5,24,28,106.1,4,2
user_25,34,Otro,Urbano,2.8,1.7,1.2,0.7,0.6,0.2,4.5,4.7,0.9,6.7,24,52,168.4,4,7
user_26,37,Mujer,SubUrbanoo,2.7,0,0.2,0.8,1.2,0,7.3,1.6,2.3,7.9,24,75,207.9,4,2
user_27,61,Hombre,Urbano,3.2,3.5,1,1,1.5,2.1,3.9,1.3,2.1,4.4,24,53,185.3,8,15
user_28,54,Mujer,Urbano,4,2.2,1.3,2.6,2.5,1.8,0,0.5,3.7,5.4,24,77,138.7,16,8
user_29,28,Mujer,Urbano,2,1.8,1.7,2.9,0.8,1.9,0,2.2,1.6,9.1,24,45,173.6,11,7
user_30,27,Hombre,Urbano,1.8,3.1,1.1,1.3,1.1,1.5,2.6,0.3,4,7.2,24,26,228.4,15,11
